node_id,region,ServerOrClientregion,cluster_id,key_file,clientID,ServerID, PublicIp
0, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 0,
1, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 1,
2, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 2,
3, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 3,
4, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 4,
5, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 5,
6, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 6,
7, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 7,
8, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 8,
9, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 9,
10, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 10,
11, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 11,
12, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 12,
13, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 13,
14, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 14,
15, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 15,
16, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 16,
17, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 17,
18, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 18,
19, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 19,
20, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 20,
21, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 21,
22, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 22,
23, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 23,
24, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 24,
25, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 25,
26, 'europe-west3-c', 0, 1, 'FKA.pem', -1, 26,
9, 'europe-west3-c', 1, -1, 'FKA.pem', 0, -1,
10, 'europe-west3-c', 1, -1, 'FKA.pem', 1, -1,
11, 'europe-west3-c', 1, -1, 'FKA.pem', 3, -1,
12, 'europe-west3-c', 1, -1, 'FKA.pem', 4, -1,
13, 'europe-west3-c', 1, -1, 'FKA.pem', 6, -1,
14, 'europe-west3-c', 1, -1, 'FKA.pem', 7, -1,
15, 'europe-west3-c', 1, -1, 'FKA.pem', 9, -1,
16, 'europe-west3-c', 1, -1, 'FKA.pem', 10, -1,
17, 'europe-west3-c', 1, -1, 'FKA.pem', 12, -1,
18, 'europe-west3-c', 1, -1, 'FKA.pem', 13, -1,
19, 'europe-west3-c', 1, -1, 'FKA.pem', 15, -1,
20, 'europe-west3-c', 1, -1, 'FKA.pem', 16, -1,
21, 'europe-west3-c', 1, -1, 'FKA.pem', 18, -1,
22, 'europe-west3-c', 1, -1, 'FKA.pem', 19, -1,

45, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 27,
46, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 28,
47, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 29,
48, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 30,
49, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 31,
50, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 32,
51, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 33,
52, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 34,
53, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 35,
54, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 36,
55, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 37,
56, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 38,
57, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 39,
58, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 40,
59, 'asia-south1-c', 0, 2, 'FKE.pem', -1, 41,
28, 'asia-south1-c', 1, -1, 'FKE.pem', 2, -1,
29, 'asia-south1-c', 1, -1, 'FKE.pem', 5, -1,
30, 'asia-south1-c', 1, -1, 'FKE.pem', 8, -1,
31, 'asia-south1-c', 1, -1, 'FKE.pem', 11, -1,
32, 'asia-south1-c', 1, -1, 'FKE.pem', 14, -1,
33, 'asia-south1-c', 1, -1, 'FKE.pem', 17, -1,
34, 'asia-south1-c', 1, -1, 'FKE.pem', 20, -1,



